ANNEXURE XLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(CHAPTER XIV, PARA 26.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORM 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINAL RESULT SHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTION TO THE LEGISLATIVE ASSEMBLY OF KARNATAKA FROM No. 158. Hebbal ASSEMBLY CONSTITUENCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total No. of Electors in Assembly Constituency/Segment : 210479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PART I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl.No,Polling Station No,Polling Station No,,,No Of Valid Votes Cast in Favour of,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polling station name,polling station Location,Abdul Azeem,C.K. Abdul Rahman Sharief,R. Jagadeesh Kumar,Abdul Basheer,Dr. Prabhashankar,Fakruddin.S,C.Munikrishna,Vinod.M,M.Venkatesha,Sridhar Pabbisetty,Uma Lakshmi Narayan,Chand Pasha,S.K.Dhanaraj,Nagaraja Shetty,Nandimandalam Madhava Raju,M.Munihanumaiah,Mohammed Usman Sharieff,Manjunatha.A,M.Manjunath,R.Raghu,N.K.Ravikumar,Shabeer Pasha,Syed Mustafa,Harish,Total of valid votes,No. of rejected votes,Total,No. of tendered votes
48,158046,46,Subhash Memorial English High School  Room No 2,Sanjayanagar ,136,83,172,2,0,0,16,1,0,55,5,1,3,1,0,1,0,0,1,0,0,0,0,6,483,NIL,483,0
49,158046A,046A,#N/A,#N/A,117,71,78,1,1,0,5,0,0,48,1,0,0,0,0,1,4,2,0,0,0,0,0,5,334,NIL,334,0
50,158047,47,Subhash Memorial English High School  Room No 3,Sanjayanagar ,67,78,163,4,0,0,19,0,1,78,2,0,0,2,0,1,0,2,0,2,0,0,1,2,422,NIL,422,0
51,158048,48,Subhash Memorial English High School  Room No 4,Sanjayanagar ,99,102,164,3,0,1,13,0,1,63,1,2,0,2,0,6,2,0,1,1,1,0,0,2,464,NIL,464,0
52,158049,49,Govt  Model Primary School  Hebbala Room No -1, Hebbala  ,119,156,186,9,6,2,97,1,0,62,1,0,0,0,0,3,0,0,1,1,0,0,2,5,651,NIL,651,0
53,158050,50,Govt  Model Primary School  Hebbala  Room No 2, Hebbala  ,91,135,87,1,1,0,67,3,2,10,2,1,1,0,2,2,0,1,1,1,1,0,0,0,409,NIL,409,0
54,158050A,050A,#N/A,#N/A,150,150,142,2,2,1,75,3,1,20,1,0,1,2,1,0,0,0,1,1,0,0,0,1,554,NIL,554,0
55,158051,51,Govt  Model Primary School  Hebbala  Room No 3, Hebbala  ,207,111,154,2,1,1,92,2,2,19,0,0,2,2,1,0,0,0,0,0,1,0,1,3,601,NIL,601,0
56,158052,52,Govt  Model Primary School  Hebbala  Room No 4, Hebbala  ,132,179,257,0,0,6,79,0,1,29,0,0,0,5,1,2,4,1,2,0,0,0,0,4,702,NIL,702,0
57,158053,53,Govt  Model Primary School  Hebbala  Room No 5, Hebbala  ,50,115,61,1,1,1,34,0,1,11,3,0,0,0,1,0,1,2,0,2,0,0,1,2,287,NIL,287,0
58,158054,54,Little Angel Public School  7th Cross  Kanakanagara  Room No 1, Hebbala  ,230,246,141,4,1,57,59,0,4,15,1,1,0,17,0,4,1,2,0,1,0,63,3,15,865,NIL,865,0
59,158055,55,Little Angel Public School  7th Cross  Kanakanagara  Room No 2, Hebbala  ,155,149,60,0,0,25,10,0,0,1,0,0,0,2,0,1,1,0,0,0,0,30,1,1,436,NIL,436,0
60,158055A,055A,#N/A,#N/A,160,163,107,5,0,19,15,1,0,29,2,1,0,15,1,2,1,3,0,0,0,20,0,3,547,NIL,547,0
61,158056,56,Little Angel Public School  7th Cross  Kanakanagara  Room No 3,R T Nagar ,100,223,18,7,0,90,3,0,2,5,0,1,0,4,0,0,3,0,0,0,0,27,0,1,484,NIL,484,0
62,158057,57,Little Angel Public School  7th Cross  Kanakanagara  Room No 4,R T Nagar ,149,233,88,0,0,60,12,0,0,3,0,0,0,1,0,1,0,0,1,1,0,12,0,2,563,NIL,563,0
63,158058,58,Neharu Centanary English School  5th Cross  Kanakanagara  Room No 1,D J Halli,175,261,190,3,0,15,25,0,2,11,0,0,1,22,0,0,1,1,0,0,0,28,1,1,737,NIL,737,0
64,158059,59,Neharu Centanary English School  5th Cross  Kanakanagara  Room No 2,D J Halli,169,195,237,2,1,26,28,1,1,14,0,0,0,36,1,2,2,7,0,1,0,50,0,2,775,NIL,775,0
65,158060,60,Nehari Centanary English School  5th Cross  Kanakanagara  Room No 3,D J Halli,94,243,137,2,0,7,18,0,0,27,0,0,0,23,0,1,2,1,0,0,0,92,0,0,647,NIL,647,0
66,158061,61,Neharu Centanary English School  5th Cross  Kanakanagara  Room No 4,D J Halli,152,245,181,4,1,21,13,1,0,28,0,0,1,30,0,0,1,1,2,0,1,55,0,1,738,NIL,738,0
67,158062,62,A E E (Sanjayanagar) B B M P  Ward Office  NGEF Layout  Citizen Service Center  Room No 1, Sanjayanagar  ,116,160,264,3,2,4,30,0,0,95,1,1,1,1,2,2,1,1,8,1,0,0,2,1,696,NIL,696,0
68,158063,63,Sri Venkateshwara Higher Primary School  Room No 1, Sanjayanagar  ,115,67,203,0,0,0,10,0,1,24,1,0,0,2,2,1,0,0,0,1,4,0,1,4,436,NIL,436,0
69,158064,64,Sri Venkateshwara Higher Primary School  Room No 2,Sanjayanagar ,79,67,148,1,1,1,11,0,0,21,1,0,0,0,0,0,0,1,1,0,1,0,0,5,338,NIL,338,0
70,158065,65,Raj Mhal Vilas High School  Room No 1,Sanjayanagar ,52,112,167,3,1,2,5,1,2,102,0,0,0,1,7,1,0,1,1,0,3,0,0,1,462,NIL,462,0
71,158066,66,Raj Mahal Vilas High School  Room No 2,Sanjayanagar ,74,137,276,2,0,3,38,0,1,68,1,0,0,1,8,0,0,0,3,1,2,1,1,4,621,NIL,621,0
72,158067,67,Raj Mahal Vilas High Schoo  Room No 3,Sanjayanagar ,83,110,212,1,0,0,15,0,2,63,1,0,1,3,3,2,2,1,1,2,0,0,0,0,502,NIL,502,0
73,158068,68,S E S  High School  5th Main road  Hebbala  Room No 1,Hebbala ,68,117,256,1,2,0,41,1,2,41,3,0,1,2,1,0,1,1,1,2,1,0,0,0,542,NIL,542,0
74,158069,69,S E S  High School  5th Main road  Hebbala  Room No 2,Hebbala ,116,168,241,0,2,3,88,1,1,92,7,0,0,0,0,3,2,0,0,1,0,0,1,1,727,NIL,727,0
75,158070,70,A S  Kupparaju And Brothers Vidyanikethana High School  Anandanagara  Room No 1,Hebbala ,53,133,261,3,2,2,124,0,1,12,6,0,4,1,1,4,4,2,2,2,1,1,2,1,622,NIL,622,0
76,158071,71,A S  Kupparaju And Brothers Vidyanikethana High School  Anandanagara  Room No 2,Hebbala ,41,90,207,3,1,0,49,1,0,4,8,0,0,2,2,1,5,0,5,0,0,2,1,2,424,NIL,424,0
77,158072,72,A S  Kupparaju And Brothers Vidyanikethana High School  Anandanagara  Room No 3,Hebbala ,36,110,142,1,1,1,123,1,0,11,0,1,2,2,0,2,0,2,0,2,1,3,2,1,444,NIL,444,0
78,158073,73,A S  Kupparaju And Brothers Vidyanikethana High School  Anandanagara  Room No 4,Hebbala ,47,208,271,3,3,0,77,0,1,71,1,0,1,4,0,2,3,0,2,1,0,0,4,2,701,NIL,701,0
79,158074,74,U A S  Campus Primary School  Hebbala  Room No 1,Hebbala ,40,107,242,4,0,1,112,2,1,99,3,0,1,3,1,1,1,1,3,1,0,2,3,1,629,NIL,629,0
80,158075,75,U A S  Campus Primary School  Hebbala  Room No 2,Hebbala ,23,40,170,1,0,1,18,0,1,81,2,0,0,2,0,2,0,0,0,0,1,0,0,2,344,NIL,344,0
81,158076,76,Ann Maria Public School  1st Mainroad  Bhuvaneshwari Nagar  Room No 1,R T Nagar ,66,111,37,2,0,20,22,1,0,4,1,0,0,3,1,1,2,2,0,0,0,5,1,5,284,NIL,284,0
82,158077,77,Ann Maria Public School  1st Main Road  Bhuvaneshwari Nagar  Room No 2,R T Nagar ,122,127,109,1,0,60,12,0,1,2,0,0,0,10,0,0,1,2,3,0,0,15,3,4,472,NIL,472,0
83,158078,78,Ann Maria Public School  1st Main Road  Bhuvaneshwari Nagar  Room No 3, Hebbala  ,113,225,276,8,0,16,28,0,2,16,1,3,1,7,0,5,2,6,1,1,0,7,0,23,741,NIL,741,0
84,158079,79,Ann Maria Public School  1st Main Road  Bhuvaneshwari Nagar  Room No 4, Hebbala  ,71,123,130,2,1,12,19,0,0,3,2,0,0,4,0,1,1,1,1,2,0,6,0,1,380,NIL,380,0
85,158080,80,New India Public School  Chamundinagara  Room No 1,R T Nagar ,159,196,63,7,1,24,9,1,2,1,0,0,0,2,0,1,0,1,1,0,0,9,0,0,477,NIL,477,0
86,158081,81,New India Public School Chamundinagara  Room No 2, R T Nagar ,117,141,47,2,0,12,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,2,1,0,327,NIL,327,0
87,158082,82,New India Public School  Chamundinagara  Room No 3,R T Nagar ,155,272,297,2,0,27,14,1,0,3,2,2,2,1,1,2,4,4,4,1,0,8,0,2,804,NIL,804,0
88,158083,83,Govt Urdu Primary School Chamundinagar  Room No 1,R T Nagar ,207,150,79,3,0,24,4,0,0,5,2,0,0,2,0,2,1,0,1,0,0,4,0,1,485,NIL,485,0
89,158084,84,Govt Urdu Primary School  Room No 2,R T Nagar ,140,177,118,8,1,12,4,0,1,2,0,0,0,2,1,1,1,0,1,1,0,4,0,0,474,NIL,474,0
90,158085,85,Vidhya Vahini School & College  Anandanagar  Room No 1,Hebbala,76,204,328,3,2,0,67,2,2,156,2,2,0,3,0,0,0,0,0,0,1,0,2,2,852,NIL,852,0
91,158086,86,U A S  Campus Primary School  Hebbala  Room No 3,Hebbala ,55,89,217,4,0,2,50,2,3,111,2,0,0,1,0,1,0,0,0,0,0,0,1,2,540,NIL,540,0
92,158087,87,U A S  Campus Primary School  Hebbala  Room No 3, Hebbala  ,43,163,194,5,1,1,26,1,2,7,4,0,1,0,3,4,1,1,1,0,0,0,2,3,463,NIL,463,0
93,158088,88,Daffodils English School  Room No 1,Sanjayanagar ,61,122,251,3,1,2,6,1,1,68,2,0,0,2,3,2,3,0,2,0,0,0,0,1,531,NIL,531,0
94,158089,89,Daffodils English School  Room No 2,Sanjayanagar ,32,80,201,1,0,0,21,0,0,56,1,0,0,0,0,0,0,1,2,0,0,0,0,1,396,NIL,396,0
95,158090,90,Daffodils English School  Room No 3, Sanjayanagar  ,47,64,161,1,1,0,7,0,0,84,1,0,0,1,0,1,0,0,0,1,0,0,0,1,370,NIL,370,0
96,158091,91,Daffodils English School  Room No 4,Sanjayanagar ,79,98,147,2,1,2,12,1,2,87,2,0,0,0,0,0,1,0,1,1,1,0,0,2,439,NIL,439,0
97,158092,92,Chiranthana English High School  Room No 1,Sanjayanagar ,127,113,157,1,0,2,18,0,5,14,1,0,0,3,1,4,5,1,4,0,0,0,1,3,460,NIL,460,0
98,158093,93,Sandeepini Nikethan Education Society  Room no 1,Sanjayanagar ,36,141,292,3,0,0,15,0,1,100,4,1,1,1,3,2,2,0,1,0,0,0,1,1,605,NIL,605,0
99,158094,94,Jawahar Education Center  Room No 1,Sanjayanagar ,193,199,241,1,2,2,25,2,2,12,3,0,0,1,7,18,1,1,1,1,2,3,1,27,745,NIL,745,0
100,158095,95,Jawahar Education Center  Room No 2,Sanjayanagar ,96,171,159,1,1,0,14,1,3,14,2,2,0,2,1,9,4,4,1,0,0,1,1,22,509,NIL,509,0
101,158096,96,Vivek Niketana English School  Geddalahalli  Room No 1,Sanjayanagar ,319,178,180,3,0,1,22,3,5,13,2,2,0,2,4,8,1,0,0,2,1,0,0,15,761,NIL,761,0
102,158097,97,Vivek Niketana English School  Geddalahalli  Room No 2,Sanjayanagar ,134,129,139,0,0,0,6,0,0,2,1,0,2,1,3,4,2,1,0,0,0,0,1,13,438,NIL,438,0
103,158098,98,Sandipini Nikethan Education Society  Room No 2,Sanjayanagar ,49,114,134,1,3,0,30,0,1,69,1,0,1,0,1,2,1,0,0,0,0,1,0,2,410,NIL,410,0
104,158099,99,Sandipini Nikethan Education Society  Room No 3,Sanjayanagar ,33,80,154,2,1,0,12,0,1,111,1,0,0,1,5,1,1,1,1,0,1,0,0,1,407,NIL,407,0
105,158100,100,Sandipini Nikethan Education Society  Room No 4,Sanjayanagar ,92,99,150,2,2,0,13,0,1,39,0,0,1,2,0,1,0,0,0,0,0,0,0,4,406,NIL,406,0
106,158101,101,Sandipini Nikethan Education Society  Room No 5,Sanjayanagar ,52,98,95,1,1,0,16,0,0,32,0,0,0,0,4,0,1,1,2,0,0,1,0,1,305,NIL,305,0
107,158102,102,Sandeepini Nikethan Education Society  Room No 6,Sanjayanagar ,82,109,133,1,0,0,8,1,1,18,1,0,0,0,0,1,4,2,0,0,0,0,0,4,365,NIL,365,0
108,158103,103,Sandeepini Nikethan Education Society  Room No 7,Sanjayanagar ,39,48,84,0,0,0,16,1,1,18,0,0,1,0,1,2,0,0,0,0,0,1,1,1,214,NIL,214,0
109,158104,104,Mamatha High School  Manjunatha Layout  Room No 1,Hebbala,39,132,191,2,0,1,20,0,0,13,3,1,2,0,0,0,1,1,0,0,0,0,6,9,421,NIL,421,0
110,158105,105,Mamatha High School  Manjunatha Layout  Room No 2,Hebbala,65,164,264,3,1,2,30,1,0,37,0,1,0,1,1,2,0,0,0,1,1,1,2,4,581,NIL,581,0
111,158106,106,Mamatha High School  Manjunatha Layout  Room No 3,R T Nagar,90,125,203,1,1,5,29,0,0,33,0,0,0,2,1,0,0,2,1,0,1,0,1,0,495,NIL,495,0
